Zeitstempel,"Which device do you own?
[If multiple pick the most recent one]",In what condition did you receive your device?,How long have you owned the device for?,Have you had to RMA your device?,Does your foldable screen open all the way?,Did your outer (small) screen break with no fault of your own ?,Did your inner (large) screen break with no fault of your own ?,What kind of screen protector do you use for your outer (small) screen?,What kind of screen protector do you use for your inner (large) screen?,Did your inner default screen protector peel or bubble up?,"Are you seeing micro cracks on the inner screen?
[Tiny scuffs especially at the middle part that look like scratches]",How is the surface of the inner screen holding up?,What is your screen usage?,How often do you fold your device in a day?
18.04.2024 00:06:16,Z Fold 3,Refurbished,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",3,0–5 times
18.04.2024 00:12:16,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,More than 20 times a day
18.04.2024 00:24:53,Z Fold 4,Factory new,13–18 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,6,0–5 times
18.04.2024 00:25:15,Z Fold 4,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
18.04.2024 00:26:27,Z Fold 4,Factory new,7–12 months,"Yes, 3x",Yes,No,"Yes, after 7–12 months",None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 0–6 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",4,0–5 times
18.04.2024 00:27:13,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,3,More than 20 times a day
18.04.2024 00:54:26,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
18.04.2024 00:54:28,Z Fold 4,Refurbished,7–12 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",1,More than 20 times a day
18.04.2024 00:55:16,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,6,6–10 times
18.04.2024 00:55:30,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,6–10 times
18.04.2024 00:57:08,Z Fold 4,Factory new,19–24 months,No,"No, 21–45° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,"Yes, after 19–24 months",No,Completely fine,3,6–10 times
18.04.2024 01:02:36,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
